type	latitude	longitude	altitude (m)	name	desc
T	-51.090780740	-73.444116663	1072.3		
T	-51.642666583	-73.383791847	91.0		
T	-52.128148403	-73.231083468	25.0		
T	-52.753418968	-73.107838084	492.9		
T	-52.903312433	-73.070580212	742.4		
T	-53.782826463	-72.611077129	836.8		
T	-54.031608406	-71.990539982	305.8		
T	-54.460698161	-70.886392124	360.4		
T	-54.580846801	-70.451663437	1084.0		
T	-54.676038475	-69.790325352	1720.9		
T	-54.822888357	-69.129701072	1047.3		
T	-54.942912513	-68.668940559	0.0		
T	-55.156458690	-66.903107157	0.0		
T	-55.402693767	-65.504607835	-2252.6		
